 x	DSM	TSM	
0.0374	0.999856	0.000143731	
0.0375	0.999856	0.000143863	
0.0376	0.999856	0.000143995	
0.0377	0.999856	0.000144127	
0.0378	0.999856	0.00014426	
0.0379	0.999856	0.000144392	
0.038	0.999855	0.000144525	
0.0381	0.999855	0.000144658	
0.0382	0.999855	0.000144791	
0.0383	0.999855	0.000144924	
0.0384	0.999855	0.000145057	
0.0385	0.999855	0.000145191	
0.0386	0.999855	0.000145324	
0.0387	0.999855	0.000145458	
0.0388	0.999854	0.000145592	
0.0389	0.999854	0.000145726	
0.039	0.999854	0.00014586	
0.0391	0.999854	0.000145994	
0.0392	0.999854	0.000146128	
0.0393	0.999854	0.000146262	
0.0394	0.999854	0.000146397	
0.0395	0.999853	0.000146531	
0.0396	0.999853	0.000146666	
0.0397	0.999853	0.000146801	
0.0398	0.999853	0.000146936	
0.0399	0.999853	0.000147071	
0.04	0.999853	0.000147206	
0.0401	0.999853	0.000147341	
0.0402	0.999853	0.000147477	
0.0403	0.999852	0.000147613	
0.0404	0.999852	0.000147748	
0.0405	0.999852	0.000147884	
0.0406	0.999852	0.00014802	
0.0407	0.999852	0.000148156	
0.0408	0.999852	0.000148292	
0.0409	0.999852	0.000148429	
0.041	0.999851	0.000148565	
0.0411	0.999851	0.000148702	
0.0412	0.999851	0.000148838	
0.0413	0.999851	0.000148975	
0.0414	0.999851	0.000149112	
0.0415	0.999851	0.000149249	
0.0416	0.999851	0.000149387	
0.0417	0.99985	0.000149524	
0.0418	0.99985	0.000149661	
0.0419	0.99985	0.000149799	
0.042	0.99985	0.000149937	
0.0421	0.99985	0.000150075	
0.0422	0.99985	0.000150213	
0.0423	0.99985	0.000150351	
0.0424	0.99985	0.000150489	
0.0425	0.999849	0.000150627	
0.0426	0.999849	0.000150766	
0.0427	0.999849	0.000150904	
0.0428	0.999849	0.000151043	
0.0429	0.999849	0.000151182	
0.043	0.999849	0.000151321	
0.0431	0.999849	0.00015146	
0.0432	0.999848	0.000151599	
0.0433	0.999848	0.000151739	
0.0434	0.999848	0.000151878	
0.0435	0.999848	0.000152018	
0.0436	0.999848	0.000152158	
0.0437	0.999848	0.000152298	
0.0438	0.999848	0.000152438	
0.0439	0.999847	0.000152578	
0.044	0.999847	0.000152718	
0.0441	0.999847	0.000152858	
0.0442	0.999847	0.000152999	
0.0443	0.999847	0.00015314	
0.0444	0.999847	0.00015328	
0.0445	0.999847	0.000153421	
0.0446	0.999846	0.000153562	
0.0447	0.999846	0.000153704	
0.0448	0.999846	0.000153845	
0.0449	0.999846	0.000153986	
0.045	0.999846	0.000154128	
